delta,threshold,mean_f1_local,mean_recall_local,mean_precision_local,mean_normal_false_alert_rate_local,mean_onset_valid_detection_rate_local,mean_onset_clean_valid_detection_rate_local,mean_persistent_detection_rate_local,mean_persistent_valid_detection_rate_local,mean_delay_min_onset_local,mean_delay_min_persistent_local,f1_N2,precision_N2,recall_N2,normal_false_alert_rate_N2,onset_valid_detection_rate_N2,onset_clean_valid_detection_rate_N2,persistent_valid_detection_rate_N2,mean_delay_min_onset_N2,f1_N8,precision_N8,recall_N8,normal_false_alert_rate_N8,onset_valid_detection_rate_N8,onset_clean_valid_detection_rate_N8,persistent_valid_detection_rate_N8,mean_delay_min_onset_N8,f1_N9,precision_N9,recall_N9,normal_false_alert_rate_N9,onset_valid_detection_rate_N9,onset_clean_valid_detection_rate_N9,persistent_valid_detection_rate_N9,mean_delay_min_onset_N9,rank_score
0.0,100,0.27659743296710393,0.16828746177370033,0.9398280802292264,0.03333333333333333,0.5866666666666666,0.5866666666666666,0.18666666666666665,0.16,402.3611111111111,825.5,0.23023218054879038,1.0,0.13009174311926605,0.0,0.96,0.96,0.0,432.0833333333333,0.2020618556701031,1.0,0.11238532110091744,0.0,0.4,0.4,0.08,487.0,0.39749826268241834,0.8194842406876791,0.26238532110091745,0.1,0.4,0.4,0.4,288.0,2.1306952874239706
0.025,20,0.42564275088397935,0.3998776758409786,0.5067121742673414,0.7666666666666666,0.6,0.39999999999999997,0.8666666666666667,0.6,41.6,754.4666666666667,0.46932400349868797,0.7356051703877791,0.34458715596330275,1.0,1.0,0.64,1.0,38.8,0.4033448106246926,0.43478260869565216,0.3761467889908257,0.6,0.4,0.32,0.4,15.0,0.4042594385285576,0.349748743718593,0.47889908256880737,0.7,0.4,0.24,0.4,71.0,2.127637670202584
0.5,80,0.25886161182229744,0.15577981651376147,0.9642857142857143,0.0,0.5866666666666666,0.5866666666666666,0.18666666666666668,0.17333333333333334,431.52777777777777,817.8333333333334,0.19745328261948072,1.0,0.10954128440366973,0.0,0.96,0.96,0.0,459.5833333333333,0.1719077568134172,1.0,0.09403669724770643,0.0,0.4,0.4,0.12,529.0,0.40722379603399433,0.8928571428571429,0.26376146788990823,0.0,0.4,0.4,0.4,306.0,2.123918669511412
0.01,20,0.42319511275162774,0.4009785932721712,0.49957901158725054,0.7666666666666666,0.6,0.38666666666666666,0.8666666666666667,0.6,41.0,753.1999999999999,0.46944617299315494,0.7295938104448743,0.3460550458715596,1.0,1.0,0.6,1.0,38.0,0.39922103213242455,0.42531120331950206,0.3761467889908257,0.6,0.4,0.32,0.4,15.0,0.40091813312930374,0.3438320209973753,0.48073394495412847,0.7,0.4,0.24,0.4,70.0,2.0917804510065108
0.01,100,0.27412780403809617,0.16623853211009174,0.9437927663734116,0.03333333333333333,0.5866666666666666,0.5866666666666666,0.17333333333333334,0.14666666666666667,405.6111111111111,826.5,0.22706571242680545,1.0,0.12807339449541286,0.0,0.96,0.96,0.0,435.8333333333333,0.19909128459314332,1.0,0.11055045871559634,0.0,0.4,0.4,0.04,490.0,0.39622641509433965,0.8313782991202346,0.26009174311926603,0.1,0.4,0.4,0.4,291.0,2.0909001050412734
0.0,20,0.4216462452586971,0.40165137614678903,0.4949673373794387,0.7666666666666666,0.6,0.38666666666666666,0.8666666666666667,0.6,40.86666666666667,737.8000000000001,0.4694789081885856,0.724904214559387,0.3471559633027523,1.0,1.0,0.6,1.0,37.6,0.3969022265246854,0.42008196721311475,0.3761467889908257,0.6,0.4,0.32,0.4,15.0,0.3985576010628203,0.3399158303658142,0.481651376146789,0.7,0.4,0.24,0.4,70.0,2.085718314368122
0.05,100,0.26679109514339955,0.16042813455657493,0.9553478712357216,0.0,0.5733333333333334,0.5733333333333334,0.14666666666666667,0.13333333333333333,410.3478260869565,214.0,0.2154551407989522,1.0,0.12073394495412844,0.0,0.92,0.92,0.0,433.04347826086956,0.1908713692946058,1.0,0.10550458715596331,0.0,0.4,0.4,0.0,500.0,0.3940467753366407,0.8660436137071651,0.25504587155963304,0.0,0.4,0.4,0.4,298.0,2.070149887819975
0.1,100,0.25460695916344406,0.15229357798165138,0.956661316211878,0.0,0.5733333333333334,0.5733333333333334,0.14666666666666667,0.13333333333333333,425.37681159420293,216.0,0.19983484723369116,1.0,0.11100917431192661,0.0,0.92,0.92,0.0,449.1304347826087,0.17725752508361203,1.0,0.09724770642201835,0.0,0.4,0.4,0.0,518.0,0.3867285051730289,0.869983948635634,0.2486238532110092,0.0,0.4,0.4,0.4,309.0,2.0063843583929066
0.2,100,0.23512827169339254,0.13889908256880734,0.9599303135888503,0.0,0.5733333333333334,0.5733333333333334,0.13333333333333333,0.12,454.07246376811594,213.33333333333334,0.1790845305713331,1.0,0.09834862385321101,0.0,0.92,0.92,0.0,485.2173913043478,0.15956099620092867,1.0,0.08669724770642202,0.0,0.4,0.4,0.0,541.0,0.36673928830791575,0.8797909407665505,0.231651376146789,0.0,0.4,0.4,0.36,336.0,1.8731072896721206
0.5,5,0.45687202815461636,0.43715596330275225,0.5209358677585669,0.8333333333333334,0.6,0.24,0.9199999999999999,0.6,23.8,545.1999999999999,0.5213326941514861,0.7515549412577747,0.39908256880733944,0.9,1.0,0.36,1.0,22.4,0.409167671893848,0.4315521628498728,0.3889908256880734,0.7,0.4,0.24,0.4,0.0,0.44011571841851493,0.37970049916805326,0.523394495412844,0.9,0.4,0.12,0.4,49.0,1.8170214459517984
0.2,10,0.430969774938797,0.4259021406727828,0.48237485932462015,0.8333333333333334,0.6,0.25333333333333335,0.9066666666666666,0.6,30.400000000000002,639.4,0.4946133588700024,0.7114325068870524,0.3790825688073394,1.0,1.0,0.4,1.0,27.2,0.39532710280373834,0.40285714285714286,0.38807339449541284,0.6,0.4,0.24,0.4,5.0,0.40296886314265024,0.3328349282296651,0.5105504587155963,0.9,0.4,0.12,0.4,59.0,1.7334790997551877
