config,cols,alpha,drift,threshold,group_col,scenario_id,source_file,scenario_type,last_label,tp,fp,fn,tn,detected_any,valid_detection,first_alert_idx,first_alert_time_s,first_valid_alert_idx,first_valid_alert_time_s,delay_min,fp_before_onset,clean_valid_detection,clean_delay_min,max_score,mean_score
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,36,data_36.csv,onset_leak,3,64,0,9,72,1,1,81.0,48600.0,81.0,48600.0,90.0,0,1,90.0,266.9919718596838,69.37523323439999
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,37,data_37.csv,onset_leak,3,64,0,9,72,1,1,81.0,48600.0,81.0,48600.0,90.0,0,1,90.0,295.06502290443575,90.042584305452
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,38,data_38.csv,onset_leak,3,68,0,5,72,1,1,77.0,46200.0,77.0,46200.0,50.0,0,1,50.0,317.5775105802293,91.98985680082104
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,39,data_39.csv,onset_leak,3,73,55,0,17,1,1,17.0,10200.0,72.0,43200.0,0.0,55,0,,258.5155129931709,102.25560511341659
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,40,data_40.csv,onset_leak,3,65,0,8,72,1,1,80.0,48000.0,80.0,48000.0,80.0,0,1,80.0,356.85252416006267,103.3481151360222
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,41,data_41.csv,persistent_leak,4,140,0,5,0,1,1,5.0,3000.0,5.0,3000.0,50.0,0,1,50.0,678.5127680054137,402.88938589595574
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,42,data_42.csv,persistent_leak,4,139,0,6,0,1,1,6.0,3600.0,6.0,3600.0,60.0,0,1,60.0,529.2173445229492,348.20685528088694
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,43,data_43.csv,persistent_leak,4,139,0,6,0,1,1,6.0,3600.0,6.0,3600.0,60.0,0,1,60.0,607.9119241912463,356.919215672887
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,44,data_44.csv,persistent_leak,4,140,0,5,0,1,1,5.0,3000.0,5.0,3000.0,50.0,0,1,50.0,589.8348562381367,364.38638839411215
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,45,data_45.csv,persistent_leak,4,139,0,6,0,1,1,6.0,3600.0,6.0,3600.0,60.0,0,1,60.0,541.8556702716064,345.08226395528254
